EdgeList: [
  [1 3]
  [1 4]
  [1 5]
  [1 9]
  [1 11]
  [1 12]
  [1 14]
  [1 15]
  [1 18]
  [2 3]
  [2 7]
  [2 10]
  [2 11]
  [3 8]
  [3 9]
  [3 10]
  [3 11]
  [3 12]
  [3 13]
  [3 14]
  [3 18]
  [3 19]
  [4 7]
  [4 9]
  [4 17]
  [4 18]
  [4 20]
  [5 6]
  [5 14]
  [5 15]
  [5 17]
  [6 7]
  [6 10]
  [6 11]
  [6 12]
  [6 16]
  [7 9]
  [7 13]
  [7 15]
  [7 20]
  [8 10]
  [8 13]
  [8 16]
  [9 10]
  [9 12]
  [9 17]
  [9 20]
  [10 12]
  [10 15]
  [10 18]
  [11 12]
  [11 15]
  [12 13]
  [12 14]
  [12 17]
  [12 18]
  [12 19]
  [13 14]
  [13 17]
  [13 18]
  [13 20]
  [14 15]
  [15 16]
  [15 17]
  [16 20]
  [18 19]
  [18 20]
]
